X,mygrid,Latitude,Longitude,myscore,Pop,c_indices
12,107,21.5,80.5,386.75,73402,7509.395833
15,122,22.5,81.5,376.6666667,389666,5850.888889
27,203,23.5,87.5,372.5,6459066,3214.537037
11,104,30.5,79.5,371.1,112000,7860.572727
19,142,20.5,82.5,355.1555556,1440000,4355.328656
1,53,19.5,76.5,346.3645834,9850666,80702.94793
23,182,28.5,85.5,345.0833333,1779905,3495.844203
9,84,24.5,78.5,341.4545455,2100087,8839.878789
14,112,26.5,80.5,335.4734849,56700,5583.237284
22,180,21.5,85.5,335.1666667,2222505,3549.719697
13,108,22.5,80.5,334.0257937,90909,5986.769995
21,179,26.5,85.5,333.5833333,250000,3701.186508
7,82,22.5,78.5,333.3257576,4900000,11094.98593
24,184,19.5,86.5,329.6666667,6459066,3200.513889
18,138,25.5,82.5,327.6503268,4900000,4241.251452
28,233,22.5,89.5,319.2333333,12100,2656.477381
25,199,27.5,87.5,315.9166667,2222505,2944.343334
4,67,20.5,77.5,313.7289474,1779905,18274.71119
3,57,23.5,76.5,313.4623016,2222505,24345.57209
26,202,30.5,87.5,313.2222222,1779905,2806.952991
6,75,28.5,77.5,311.1666667,3000000,12083.63889
8,83,23.5,78.5,310,1440000,9028.75
20,159,29.5,84.5,309.5324074,2100087,3606.052546
16,124,24.5,81.5,309.2,2200000,4502.725
10,94,22.5,79.5,305.6,250000,7120.48
17,129,19.5,81.5,303.9117647,512000,4165.378893
2,56,22.5,76.5,298.6111111,1250170,34788.19444
5,69,22.5,77.5,297.8333333,6459066,13879.03333
